date,energy,impact-e,lat,lat-dir,lon,lon-dir,alt,vel,year,legend
2017-07-13 09:30:36,7.3,0.23,23.1,N,60.7,E,35.0,13.7,2017,"Location: N/A,N/A<br><10 kt<br>2017-07-13 09:30:36"
2017-06-30 14:26:45,9.4,0.29,-34.3,S,134.5,E,20.0,15.2,2017,"Location: N/A,AU<br><10 kt<br>2017-06-30 14:26:45"
2017-06-23 20:21:55,18.4,0.52,57.0,N,143.7,E,35.1,24.3,2017,"Location: N/A,RU<br><10 kt<br>2017-06-23 20:21:55"
2017-06-20 13:41:32,63.6,1.6,-54.2,S,133.0,E,33.3,13.6,2017,"Location: N/A,N/A<br><10 kt<br>2017-06-20 13:41:32"
2017-05-24 07:03:03,9.0,0.28,-9.1,S,101.8,E,46.0,18.4,2017,"Location: N/A,N/A<br><10 kt<br>2017-05-24 07:03:03"
2017-05-22 17:44:39,3.5,0.12,-49.6,S,-157.6,W,33.0,,2017,"Location: N/A,N/A<br><10 kt<br>2017-05-22 17:44:39"
2017-05-14 09:30:35,3.5,0.12,-26.0,S,32.4,E,33.0,,2017,"Location: Belo Horizonte,MZ<br><10 kt<br>2017-05-14 09:30:35"
2017-04-30 21:28:28,15.0,0.43,-25.7,S,56.2,E,32.4,21.5,2017,"Location: N/A,N/A<br><10 kt<br>2017-04-30 21:28:28"
2017-03-11 04:51:21,126.3,2.9,28.3,N,-60.2,W,28.0,,2017,"Location: N/A,N/A<br><10 kt<br>2017-03-11 04:51:21"
2017-03-09 04:16:37,40.0,1.0,40.5,N,-18.0,W,23.0,36.5,2017,"Location: N/A,N/A<br><10 kt<br>2017-03-09 04:16:37"
2017-03-08 22:21:59,7.2,0.23,-26.1,S,174.9,E,37.0,,2017,"Location: N/A,N/A<br><10 kt<br>2017-03-08 22:21:59"
2017-02-25 01:22:59,6.5,0.21,29.5,N,13.5,E,25.4,12.2,2017,"Location: N/A,LY<br><10 kt<br>2017-02-25 01:22:59"
2017-02-21 18:47:30,3.8,0.13,-50.7,S,-66.0,W,,,2017,"Location: N/A,N/A<br><10 kt<br>2017-02-21 18:47:30"
2017-02-18 19:48:29,29.5,0.79,6.2,N,60.4,E,38.0,24.2,2017,"Location: N/A,N/A<br><10 kt<br>2017-02-18 19:48:29"
2017-02-07 17:37:31,2.0,73.0,-27.4,S,-14.8,W,54.0,,2017,"Location: N/A,N/A<br>73.0 kt<br>2017-02-07 17:37:31"
2017-02-06 06:09:59,6.6,0.21,10.4,N,131.6,E,33.5,,2017,"Location: N/A,N/A<br><10 kt<br>2017-02-06 06:09:59"
2016-12-23 03:29:09,3.8,0.13,21.3,N,49.3,E,42.0,29.7,2016,"Location: N/A,SA<br><10 kt<br>2016-12-23 03:29:09"
2016-12-07 04:51:39,11.7,0.35,-34.5,S,-126.6,W,,,2016,"Location: N/A,N/A<br><10 kt<br>2016-12-07 04:51:39"
2016-11-29 08:05:38,3.1,0.11,-30.6,S,-93.1,W,,,2016,"Location: N/A,N/A<br><10 kt<br>2016-11-29 08:05:38"
2016-11-24 14:10:34,13.8,0.4,-15.2,S,80.3,E,30.6,17.4,2016,"Location: N/A,N/A<br><10 kt<br>2016-11-24 14:10:34"
2016-11-03 17:14:29,7.6,0.24,-39.6,S,-16.3,W,37.0,,2016,"Location: N/A,N/A<br><10 kt<br>2016-11-03 17:14:29"
2016-10-01 20:23:45,3.1,0.11,36.2,N,6.7,E,27.8,14.2,2016,"Location: N/A,DZ<br><10 kt<br>2016-10-01 20:23:45"
2016-09-22 04:57:49,7.1,0.22,-51.8,S,178.5,E,40.0,17.5,2016,"Location: N/A,N/A<br><10 kt<br>2016-09-22 04:57:49"
2016-09-14 15:01:51,7.6,0.24,-3.5,S,44.6,E,54.0,18.3,2016,"Location: N/A,N/A<br><10 kt<br>2016-09-14 15:01:51"
